title,severity,category,description,affected_paths,mitigation,status,discovered_by,cwe
Hardcoded outdated LLM model IDs,high,config,"Model identifiers (claude-3-5-sonnet, gemini-1.5-pro, etc.) are hardcoded in the codebase and have since been deprecated or surpassed.","packages/backend/src/routes/agents/*","Centralize model registry; pull active models from a config table per provider with effective-date metadata.",open,manual,CWE-1188
No authentication on backend routes,critical,auth,"All /api/* routes are unauthenticated; anyone with the URL can spend LLM tokens or trigger outbound tool calls.","packages/backend/src/index.ts; packages/backend/src/routes/**","Add Fastify auth plugin gated on Microsoft EntraID JWT; reject anonymous requests; enforce ministry scoping via dynamic group claims.",open,manual,CWE-306
No PII/secret detection before LLM call,high,privacy,"User input is forwarded to third-party LLM providers without scanning for PII (SIN, health card, names) or secrets (API keys).","packages/backend/src/routes/agents/*","Regex-driven PII detector in packages/backend/src/lib/pii.ts runs pre-flight; blocks or redacts before egress.",in_progress,manual,CWE-359
Open CORS / open hosting environment,high,config,"Backend likely permits any origin; no production-grade WAF / IP allowlist.","packages/backend/src/index.ts","Restrict CORS to nexus.aim.* origins; deploy behind GoA load balancer with WAF rules.",open,red_agent,CWE-942
SQL injection risk in db tool,high,injection,"/api/tools/db forwards user-supplied SQL to an external Postgres. If exposed to LLM tool-calls this is a confused-deputy vector.","packages/backend/src/routes/tools/db.ts","Parameterize queries; deny DDL/DML by default; require an allowlist of read-only queries per tool instance.",open,manual,CWE-89
Unrestricted SSRF via api_call tool,high,injection,"api_call accepts arbitrary URLs; can reach internal services (169.254.169.254, RFC1918) from the backend pod.","packages/backend/src/routes/tools/apiCall.ts","Block private IP ranges, metadata endpoints, and DNS rebinding; require URL allowlist per ministry.",open,red_agent,CWE-918
Unrestricted SSRF via web_scrape tool,high,injection,"Same as api_call — scrape fetches arbitrary URLs server-side.","packages/backend/src/routes/tools/scrape.ts","DNS resolve and block private networks before fetch; size/time limits.",open,red_agent,CWE-918
No audit logging for LLM calls,high,observability,"Prompts, tool calls, and responses are not persisted; cannot satisfy Protected B audit requirements.","packages/backend/src/routes/agents/*","Append-only audit table audit_log with user, ministry, prompt hash, tools used, output classification.",open,blue_agent,CWE-778
API keys stored as plain env vars,medium,secrets,"ANTHROPIC_API_KEY etc. live in .env; no rotation, no per-ministry isolation.","./.env; packages/backend/src/index.ts","Pull from GoA secrets manager at boot; rotate quarterly; per-ministry keys where feasible.",open,manual,CWE-798
No rate limiting on /api routes,medium,availability,"No per-user or per-IP rate limits; LLM cost-exhaustion DoS is trivial.","packages/backend/src/index.ts","@fastify/rate-limit with per-user (EntraID OID) buckets.",open,manual,CWE-770
Missing content security policy,medium,xss,"Frontend has no CSP, weakening XSS defenses around streamed markdown.","packages/frontend/index.html","Add CSP meta with nonce-based script-src; restrict to self + nexus domains.",open,manual,CWE-1021
Markdown renders unsanitized model output,medium,xss,"LLM outputs are rendered as markdown; HTML/JS injection through prompt injection is possible.","packages/frontend/src/components/output/OutputLog.vue","Use vue-markdown-render with DOMPurify; disable raw HTML and javascript: URLs.",open,blue_agent,CWE-79
No session timeout / idle logout,medium,auth,"Once authenticated the session has no enforced timeout.","packages/backend/src/index.ts","30-minute idle timeout; absolute 8-hour cap.",open,manual,CWE-613
No retention or purge policy,medium,privacy,"Free agent sessions, artifacts, and prompts persist indefinitely.","packages/frontend/src/stores/freeAgentStore.ts; backend","Define retention windows per classification; nightly purge job; user export endpoint.",open,manual,CWE-359
No data classification labels,medium,privacy,"Workflow runs have no Protected A/B classification; cross-ministry data leakage possible.","packages/backend/src/routes/agents/*","Require classification on every run; route Protected B to vetted LLM endpoints only (Vertex).",open,manual,CWE-200
Egress to third-party LLMs without proxy,high,privacy,"Data leaves GoA boundary direct to api.anthropic.com / generativelanguage.googleapis.com.","packages/backend/src/routes/agents/*","Route via GoA Vertex AI proxy for Protected A/B; document data residency.",open,blue_agent,CWE-200
Free agent loop has no max iteration cap visible,medium,availability,"Iteration counter can grow unbounded; cost / loop-detection edge cases.","packages/backend/src/routes/agents/freeAgent.ts; packages/frontend/src/composables/useFreeAgentSession.ts","Hard-cap iterations (e.g. 25) server-side; surface progress; abort signal.",open,manual,CWE-835
Tool secrets stored in browser localStorage,medium,secrets,"SecretOverrides from SecretsMiniPanel persist in localStorage in cleartext.","packages/frontend/src/stores/secretsStore.ts","Move secret overrides server-side keyed by user; never localStorage for secrets.",open,manual,CWE-922
No accessibility audit on canvas UI,low,accessibility,"Canvas-mode (xyflow) and modals lack keyboard navigation and ARIA labels in places.","packages/frontend/src/components/workflow/*; packages/frontend/src/components/freeAgent/*","WCAG 2.1 AA pass; axe-core CI check.",open,manual,CWE-1
No CSRF protection on state-changing routes,medium,injection,"POST routes accept cross-origin via CORS without CSRF token validation.","packages/backend/src/index.ts","Double-submit cookie or SameSite=Lax + Origin/Referer check.",open,blue_agent,CWE-352
Mobile responsiveness gaps,low,functional,"Workflow canvas is desktop-first; mobile layout has been called out in source repo issues.","packages/frontend/src/components/workflow/*","Validate breakpoints; provide simple-view as mobile default.",open,manual,CWE-1
Hardcoded Supabase URL in legacy source,informational,config,"Legacy React app retains supabase URLs; not in target build but cleanup item.","Source repo only (agent-builder-console-main)","Confirm no supabase reference leaked into target; CI grep guard.",mitigated,manual,CWE-1188
