phase,task,owner,estimate_hours,status,notes
P1-Scaffold,npm workspaces + tsconfig + shared types,claude-A,4,done,Phase 1 complete
P1-Scaffold,.env.example with all keys,claude-A,1,done,
P2-Backend,Port supabase free-agent fn -> Fastify route,claude-A,6,done,SSE preserved
P2-Backend,Port supabase run-agent (gemini) -> Fastify route,claude-A,4,done,
P2-Backend,Port anthropic / xai / nano / enhance-prompt routes,claude-A,6,done,
P2-Backend,Port all 13 tool routes,claude-A,12,done,
P3-FrontendFoundation,Vite + Tailwind + design tokens + main.ts,claude-A,4,done,
P3-FrontendFoundation,Pinia stores (workflow / freeAgent / secrets / prompt / toolInstance),claude-B,8,done,
P3-FrontendFoundation,Composables (use-mobile / use-toast / useSecretsManager / etc.),claude-B,4,done,
P3-FrontendFoundation,Copy framework-agnostic lib/* and utils/*,claude-B,3,done,
P3-FrontendFoundation,WorkbenchView + NotFoundView + AppLayout + MobileNav,claude-B,6,done,
P3-FrontendFoundation,useWorkflowRunner composable (SSE),claude-B,5,done,
P4-Workflow,Stage / StageNode / AgentNode / FunctionNode / NoteNode,claude-C,10,done,
P4-Workflow,WorkflowNodeComponent + iconRegistry,claude-C,4,done,
P4-Workflow,WorkflowCanvas + WorkflowCanvasMode + SimpleView,claude-?,8,doing,
P4-Workflow,Sidebar / Toolbar / PropertiesPanel / OutputLog,claude-?,12,doing,
P4-Workflow,AgentSelector / FunctionSelector / ExcelSelector modals,claude-?,6,todo,
P5-FreeAgent,All 10 canvas nodes,claude-D,12,done,
P5-FreeAgent,FreeAgentView container,claude-?,4,doing,
P5-FreeAgent,FreeAgentPanel + FreeAgentCanvas,claude-?,6,todo,
P5-FreeAgent,5 viewers (Blackboard / Artifacts / Raw / SystemPrompt / SecretsMini),claude-?,6,doing,
P5-FreeAgent,11 modals (Assistance / FinalReport / ChildAgentDetail / etc.),claude-?,16,todo,
P5-FreeAgent,ToolInstancesTab,claude-?,3,todo,
P6-Integration,Wire all composables to backend SSE,claude-?,6,todo,
P6-Integration,Dark mode via useColorMode,claude-?,2,todo,
P6-Integration,Help/Github components if used,claude-?,3,todo,
P6-Integration,E2E verification per REBUILD_PLAN section 8,claude-?,6,todo,
P7-Analysis,REBUILD_PLAN Phase 7 claim + scope note,claude-festive-elbakyan,1,done,
P7-Analysis,Migration 0001 analysis_tables.sql (idempotent),claude-festive-elbakyan,2,done,
P7-Analysis,Migration runner scripts/migrate.mjs,claude-festive-elbakyan,1,done,
P7-Analysis,Seed CSV + scripts/seed.mjs,claude-festive-elbakyan,3,doing,
P7-Analysis,docs/ARCHITECTURE.md from-to,claude-festive-elbakyan,3,todo,
P7-Analysis,docs/PRIVACY_CONTROLS.md ministry / PII / audit,claude-festive-elbakyan,3,todo,
P7-Analysis,packages/backend/src/lib/pii.ts + test,claude-festive-elbakyan,3,todo,
P8-Trust,Vitest unit-test scaffolding,claude-?,4,todo,
P8-Trust,Red agent run on locally hosted ABC,claude-?,6,todo,
P8-Trust,Blue agent SAST/DAST report,claude-?,6,todo,
P8-Trust,ATO evidence package (SOAR/STRA inputs),claude-?,8,todo,
P8-Trust,Deputy-Minister-ready visual architecture,claude-?,4,todo,
